828,2.1693611111,+39.1908333333333,Magnitude: 13
Type: Spiral galaxy
Constellation: Andromeda;
829,2.1450555556,-7.79083333333333,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
830,2.1496388889,-7.76666666666667,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
831,2.1596111111,+6.09611111111111,Magnitude: 15.2
Type: Spiral galaxy
Constellation: Cetus;
832,2.1666666667,+35.5333333333333,Magnitude: 
Type: Double star
Constellation: Triangulum;
833,2.1558055556,-10.1333333333333,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
834,2.18375,+37.6666666666667,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Andromeda;
835,2.1568611111,-10.1363888888889,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Cetus;
836,2.1735833333,-22.055,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Cetus;
837,2.1711666667,-22.4308333333333,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
838,2.1607222222,-10.1469444444444,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
839,2.1619166667,-10.1841666666667,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Cetus;
840,2.1711944444,+7.84472222222222,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Cetus;
841,2.1881944444,+37.4969444444444,Magnitude: 12.8
Type: Spiral galaxy
Constellation: Andromeda;
842,2.1641111111,-7.7625,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
843,2.1855555556,+32.1,Magnitude: 
Type: Triple star
Constellation: Triangulum;
844,2.1699722222,+6.04833333333333,Magnitude: 15
Type: Galaxy
Constellation: Cetus;
845,2.2055,+37.4772222222222,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Andromeda;
846,2.2035,+44.5680555555556,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Andromeda;
847,2.2035,+44.5680555555556,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Andromeda;
848,2.1715555556,-10.3213888888889,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
849,2.1697777778,-22.3230555555556,Magnitude: 15.7
Type: Lenticular galaxy
Constellation: Cetus;
850,2.1871111111,-1.48555555555556,Magnitude: 14.1
Type: Lenticular galaxy
Constellation: Cetus;
851,2.1867222222,+3.77944444444444,Magnitude: 14.7
Type: Lenticular galaxy
Constellation: Cetus;
852,2.1487222222,-56.7363888888889,Magnitude: 
Type: Spiral galaxy
Constellation: Eridanus;
853,2.1948888889,-9.30472222222222,Magnitude: 13
Type: Irregular galaxy
Constellation: Cetus;
854,2.1918888889,-35.8347222222222,Magnitude: 13
Type: Spiral galaxy
Constellation: Fornax;
855,2.2343611111,+27.8769444444444,Magnitude: 13
Type: Elliptical galaxy
Constellation: Triangulum;
856,2.2273611111,-0.7175,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Cetus;
857,2.2103333333,-31.9444444444444,Magnitude: 13.3
Type: Lenticular galaxy
Constellation: Fornax;
858,2.2083888889,-22.4716666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
859,2.2273611111,-0.7175,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Cetus;
860,2.2500555556,+30.7788888888889,Magnitude: 15.1
Type: Galaxy
Constellation: Triangulum;
861,2.2642222222,+35.9133333333333,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Triangulum;
862,2.2174444444,-42.0338888888889,Magnitude: 13.7
Type: Elliptical galaxy
Constellation: Phoenix;
863,2.2426666667,-0.766666666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
864,2.2576666667,+6.0025,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
865,2.2708888889,+28.6002777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Triangulum;
866,2.2426666667,-0.766666666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
867,2.2846666667,+1.24416666666667,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Cetus;
868,2.2662222222,-0.713333333333333,Magnitude: 15.6
Type: Spiral galaxy
Constellation: Cetus;
869,2.3166666667,+57.15,Magnitude: 5.7
Type: Open cluster
Constellation: Perseus;
870,2.2858888889,+14.5227777777778,Magnitude: 16
Type: Galaxy
Constellation: Aries;
871,2.2863333333,+14.5480555555556,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Aries;
872,2.257,-17.7811111111111,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
873,2.2756388889,-11.3486111111111,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Cetus;
874,2.2672222222,-23.3058333333333,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
875,2.2846666667,+1.24416666666667,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Cetus;
876,2.2981388889,+14.5213888888889,Magnitude: 16.5
Type: Spiral galaxy
Constellation: Aries;
877,2.2999166667,+14.5438888888889,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Aries;
878,2.2983888889,-23.3844444444444,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Cetus;
879,2.2809166667,-8.96333333333333,Magnitude: 15.5
Type: Irregular galaxy
Constellation: Cetus;
880,2.3075277778,-4.20611111111111,Magnitude: 15.6
Type: Irregular galaxy
Constellation: Cetus;
881,2.3126111111,-6.63944444444444,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Cetus;
882,2.3277777778,+15.8138888888889,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Aries;
883,2.3181111111,-6.79138888888889,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
884,2.3666666667,+57.1333333333333,Magnitude: 6.6
Type: Open cluster
Constellation: Perseus;
885,2.2426666667,-0.766666666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
886,2.4,+63.7666666666667,Magnitude: 
Type: Open cluster
Constellation: Cassiopeia;
887,2.3255555556,-16.0666666666667,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
888,2.2908055556,-59.8611111111111,Magnitude: 
Type: Elliptical galaxy
Constellation: Horologium;
889,2.3185833333,-41.7494444444444,Magnitude: 14.2
Type: Elliptical galaxy
Constellation: Phoenix;
890,2.3669166667,+33.2663888888889,Magnitude: 12.6
Type: Lenticular galaxy
Constellation: Triangulum;
891,2.3758055556,+42.3461111111111,Magnitude: 10.8
Type: Spiral galaxy
Constellation: Andromeda;
892,2.3477777778,-23.1138888888889,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
893,2.3327222222,-41.4025,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Phoenix;
894,2.3600555556,-5.52027777777778,Magnitude: 11.5
Type: Spiral arm
Constellation: Cetus;
895,2.3600555556,-5.52027777777778,Magnitude: 11.5
Type: Spiral galaxy
Constellation: Cetus;
896,2.4333333333,+61.9833333333333,Magnitude: 
Type: Diffuse nebula
Constellation: Cassiopeia;
897,2.3516944444,-33.7216666666667,Magnitude: 11
Type: Spiral galaxy
Constellation: Fornax;
898,2.3889722222,+41.9511111111111,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Andromeda;
899,2.3647777778,-20.8227777777778,Magnitude: 13.3
Type: Irregular galaxy
Constellation: Cetus;
900,2.3923055556,+26.5113888888889,Magnitude: 15
Type: Lenticular galaxy
Constellation: Aries;
901,2.3928055556,+26.5569444444444,Magnitude: 
Type: Galaxy
Constellation: Aries;
902,2.3727222222,-16.6791666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
903,2.40025,+27.3563888888889,Magnitude: 
Type: Galaxy
Constellation: Aries;
904,2.4015833333,+27.3422222222222,Magnitude: 15
Type: Elliptical galaxy
Constellation: Aries;
905,2.3787777778,-8.71916666666667,Magnitude: 15.9
Type: Galaxy
Constellation: Cetus;
906,2.4211666667,+42.0902777777778,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Andromeda;
907,2.3838611111,-20.7119444444444,Magnitude: 14.2
Type: Irregular galaxy
Constellation: Cetus;
908,2.3846666667,-21.2341666666667,Magnitude: 10.9
Type: Spiral galaxy
Constellation: Cetus;
909,2.423,+42.035,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Andromeda;
910,2.4241111111,+41.8241666666667,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Andromeda;
911,2.4284444444,+41.9558333333333,Magnitude: 14
Type: Elliptical galaxy
Constellation: Andromeda;
912,2.4285277778,+41.7775,Magnitude: 15
Type: Elliptical galaxy
Constellation: Andromeda;
913,2.4291111111,+41.7994444444444,Magnitude: 16
Type: Elliptical galaxy
Constellation: Andromeda;
914,2.43475,+42.1438888888889,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Andromeda;
915,2.4293333333,+27.2211111111111,Magnitude: 15
Type: Galaxy
Constellation: Aries;
916,2.4298888889,+27.2425,Magnitude: 14.9
Type: Galaxy
Constellation: Aries;
917,2.4355,+31.9119444444444,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Triangulum;
918,2.4307777778,+18.4963888888889,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Aries;
919,2.438,+27.2119444444444,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Aries;
920,2.4644166667,+45.9469444444444,Magnitude: 15.6
Type: Spiral galaxy
Constellation: Andromeda;
921,2.4426388889,-15.8475,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
922,2.4176388889,-24.7894444444444,Magnitude: 12.6
Type: Spiral galaxy
Constellation: Fornax;
923,2.4596388889,+41.9777777777778,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Andromeda;
924,2.4463611111,+20.4975,Magnitude: 13.8
Type: Lenticular galaxy
Constellation: Aries;
925,2.4546666667,+33.5791666666667,Magnitude: 10.5
Type: Spiral galaxy
Constellation: Triangulum;
926,2.4352222222,-0.332222222222222,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Cetus;
927,2.4437222222,+12.155,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Aries;
928,2.4613611111,+27.2208333333333,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Aries;
929,2.4550833333,-12.0863888888889,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
930,2.4666666667,+20.3333333333333,Magnitude: 
Type: Unknown
Constellation: Aries;
931,2.4707222222,+31.3108333333333,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Triangulum;
932,2.4652222222,+20.3325,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Aries;
933,2.48825,+45.9111111111111,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Andromeda;
934,2.4591666667,-0.244444444444444,Magnitude: 14.4
Type: Lenticular galaxy
Constellation: Cetus;
935,2.4697777778,+19.5997222222222,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Aries;
936,2.4603611111,-1.15638888888889,Magnitude: 11.3
Type: Lenticular galaxy
Constellation: Cetus;
937,2.4911944444,+42.2497222222222,Magnitude: 15
Type: Spiral galaxy
Constellation: Andromeda;
938,2.476,+20.2838888888889,Magnitude: 13.8
Type: Elliptical galaxy
Constellation: Aries;
939,2.4392222222,-44.4463888888889,Magnitude: 14
Type: Elliptical galaxy
Constellation: Eridanus;
940,2.4909722222,+31.6411111111111,Magnitude: 13.4
Type: Lenticular galaxy
Constellation: Triangulum;
941,2.4744166667,-1.15111111111111,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Cetus;
942,2.4863888889,-10.8266666666667,Magnitude: 14
Type: Irregular galaxy
Constellation: Cetus;
943,2.486,-10.8283333333333,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
944,2.4450277778,-14.5152777777778,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
945,2.477,-10.5397222222222,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
946,2.5107222222,+42.2322222222222,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Andromeda;
947,2.4757777778,-19.0425,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Cetus;
948,2.4791944444,-10.5122222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
949,2.5135555556,+37.1361111111111,Magnitude: 12
Type: Spiral galaxy
Constellation: Triangulum;
950,2.4867777778,-11.0266666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
951,2.4824722222,-22.3486111111111,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
952,2.5166666667,+34.75,Magnitude: 
Type: Unknown
Constellation: Triangulum;
953,2.5194166667,+29.5886111111111,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Triangulum;
954,2.4809444444,-41.4027777777778,Magnitude: 13.3
Type: Spiral galaxy
Constellation: Eridanus;
955,2.5092777778,-1.10861111111111,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
956,2.5333333333,+44.65,Magnitude: 8.9
Type: Open cluster
Constellation: Andromeda;
957,2.55,+57.5666666666667,Magnitude: 8.3
Type: Open cluster
Constellation: Perseus;
958,2.5118055556,-2.94166666666667,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
959,2.5400277778,+35.4947222222222,Magnitude: 12.5
Type: Irregular galaxy
Constellation: Triangulum;
960,2.5281666667,-9.30055555555556,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
961,2.6840277778,-6.93583333333333,Magnitude: 13
Type: Irregular galaxy
Constellation: Cetus;
962,2.5444444444,+28.07,Magnitude: 14.2
Type: Elliptical galaxy
Constellation: Aries;
963,2.5086666667,-4.21666666666667,Magnitude: 14.5
Type: Galaxy
Constellation: Cetus;
964,2.5183888889,-36.0333333333333,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Fornax;
965,2.5402777778,-18.6397222222222,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Cetus;
966,2.5296944444,-19.8811111111111,Magnitude: 14.1
Type: Lenticular galaxy
Constellation: Cetus;
967,2.5368611111,-17.2169444444444,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Cetus;
968,2.5684166667,+34.4797222222222,Magnitude: 13.8
Type: Elliptical galaxy
Constellation: Triangulum;
969,2.5688888889,+32.9472222222222,Magnitude: 13.4
Type: Lenticular galaxy
Constellation: Triangulum;
970,2.5699444444,+32.9775,Magnitude: 15.7
Type: Interacting galaxies
Constellation: Triangulum;
971,2.5698888889,+32.9766666666667,Magnitude: 
Type: Star
Constellation: Triangulum;
972,2.5703888889,+29.3105555555556,Magnitude: 12.1
Type: Spiral galaxy
Constellation: Aries;
973,2.5722777778,+32.5052777777778,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Triangulum;
974,2.5738333333,+32.9544444444444,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Triangulum;
975,2.5563333333,+9.60166666666667,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Cetus;
976,2.5666944444,+20.9769444444444,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Aries;
977,2.5509444444,-10.76,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
978,2.57975,+32.8461111111111,Magnitude: 13.3
Type: Interacting galaxies
Constellation: Triangulum;
979,2.5273888889,-44.5238888888889,Magnitude: 13.8
Type: Lenticular galaxy
Constellation: Eridanus;
980,2.5885277778,+40.9263888888889,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Andromeda;
981,2.5499722222,-10.9752777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
982,2.59025,+40.8691666666667,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Andromeda;
983,2.6488333333,+34.6222222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Triangulum;
984,2.5786944444,+23.4127777777778,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Aries;
985,2.5771666667,-8.7875,Magnitude: 14.5
Type: Ring galaxy
Constellation: Cetus;
986,2.5595,-39.0444444444444,Magnitude: 11.8
Type: Spiral galaxy
Constellation: Fornax;
987,2.6137777778,+33.3272222222222,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Triangulum;
988,2.5909444444,-9.35472222222222,Magnitude: 11.4
Type: Spiral galaxy
Constellation: Cetus;
989,2.5628055556,-16.5111111111111,Magnitude: 15
Type: Galaxy
Constellation: Cetus;
990,2.6050833333,+11.6419444444444,Magnitude: 13.9
Type: Elliptical galaxy
Constellation: Aries;
991,2.5924722222,-7.15472222222222,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Cetus;
992,2.6237777778,+21.1002777777778,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Aries;
993,2.6128333333,+2.04972222222222,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Cetus;
994,2.6128333333,+2.04972222222222,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Cetus;
995,2.6422777778,+41.5291666666667,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Andromeda;
996,2.6444444444,+41.6469444444445,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Andromeda;
997,2.6206666667,+7.30555555555556,Magnitude: 14.6
Type: Interacting galaxies
Constellation: Cetus;
998,2.6223055556,+7.44,Magnitude: 15.6
Type: Spiral galaxy
Constellation: Cetus;
999,2.6465555556,+41.6702777777778,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Andromeda;
1000,2.6471388889,+41.4597222222222,Magnitude: 15.6
Type: Elliptical galaxy
Constellation: Andromeda;
