241,0.72575,-73.4402777777778,Magnitude: 
Type: Open cluster
Constellation: Tucana;
242,0.7271111111,-73.4438888888889,Magnitude: 12.1
Type: Open cluster
Constellation: Tucana;
243,0.7668611111,+29.9594444444444,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Andromeda;
244,0.7629166667,-15.5975,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
245,0.7682222222,-1.72333333333333,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Cetus;
246,0.78425,-11.8719444444444,Magnitude: 11.4
Type: Planetary nebula
Constellation: Cetus;
247,0.7857222222,-20.7605555555556,Magnitude: 9.6
Type: Intermediate spiral galaxy
Constellation: Cetus;
248,0.7721111111,-73.3891666666667,Magnitude: 
Type: Diffuse nebula
Constellation: Tucana;
249,0.7530277778,-73.0713888888889,Magnitude: 
Type: Diffuse nebula
Constellation: Tucana;
250,0.7878055556,+7.91,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Pisces;
251,0.7983333333,+19.5966666666667,Magnitude: 14.6
Type: Spiral galaxy
Constellation: Pisces;
252,0.8004166667,+27.6247222222222,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Andromeda;
253,0.7925277778,-25.2883333333333,Magnitude: 8
Type: Intermediate spiral galaxy
Constellation: Sculptor;
254,0.7909722222,-31.4219444444444,Magnitude: 12.7
Type: Lenticular galaxy
Constellation: Sculptor;
255,0.7964444444,-11.4680555555556,Magnitude: 11
Type: Barred spiral galaxy
Constellation: Cetus;
256,0.7650833333,-73.5066666666667,Magnitude: 12.8
Type: Open cluster
Constellation: Tucana;
257,0.8004444444,+8.29666666666667,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Pisces;
258,0.8035555556,+27.6572222222222,Magnitude: 15
Type: Lenticular galaxy
Constellation: Andromeda;
259,0.8009166667,-2.77611111111111,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Cetus;
260,0.8096944444,+27.6916666666667,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Andromeda;
261,0.7758333333,-73.0986111111111,Magnitude: 
